Index,Asrama,Kesehatan,Asuransi,Beasiswa,Kegiatan Mahasiswa
3,0.8422,0.8526,0.8714,0.8784,0.864
4,0.842,0.8522,0.871,0.8792,0.8632
5,0.8418,0.8524,0.8696,0.8802,0.8644
6,0.8432,0.8526,0.8696,0.8796,0.8634
7,0.843,0.8534,0.8686,0.8802,0.8642
8,0.8426,0.8536,0.8684,0.8804,0.8644
9,0.8434,0.8534,0.8678,0.8806,0.864
